time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-4.680,98.5661,-0.807,0.000,25.971,-3.558,-18.616,32.151
-4.660,98.5651,-0.579,0.000,26.326,-3.558,-18.112,32.153
-4.640,98.5667,-0.760,0.000,26.326,-3.558,-18.112,32.153
-4.620,98.5635,-0.331,0.000,26.149,-3.380,-18.112,31.988
-4.600,98.5672,-0.304,0.000,26.326,-3.558,-18.364,32.295
-4.580,98.5672,-0.655,0.000,26.149,-3.736,-18.364,32.171
-4.560,98.5672,-0.591,0.000,26.326,-3.558,-18.112,32.153
-4.540,98.5661,-0.303,0.000,26.326,-3.558,-18.364,32.295
-4.520,98.5651,0.097,0.000,26.149,-3.736,-18.112,32.028
-4.500,98.5687,-0.417,0.000,26.149,-3.380,-18.364,32.131
-4.480,98.5672,-0.380,0.000,26.326,-3.558,-18.112,32.153
-4.460,98.5625,-0.235,0.000,26.504,-3.736,-18.112,32.319
-4.440,98.5646,-0.008,0.000,26.326,-3.558,-18.112,32.153
-4.420,98.5620,0.442,0.000,26.326,-3.558,-18.112,32.153
-4.400,98.5604,1.117,0.000,26.326,-3.558,-18.364,32.295
-4.380,98.5625,0.797,0.000,26.326,-3.558,-18.364,32.295
-4.360,98.5640,0.466,0.000,26.326,-3.558,-18.364,32.295
-4.340,98.5646,0.239,0.000,26.149,-3.736,-18.364,32.171
-4.320,98.5651,0.050,0.000,26.326,-3.558,-18.364,32.295
-4.300,98.5667,-0.323,0.000,26.326,-3.558,-18.364,32.295
-4.280,98.5651,0.322,0.000,26.326,-3.558,-18.616,32.439
-4.260,98.5640,0.724,0.000,25.971,-3.558,-18.112,31.862
-4.240,98.5667,0.369,0.000,26.504,-3.736,-18.616,32.603
-4.220,98.5640,0.299,0.000,26.149,-3.736,-18.112,32.028
-4.200,98.5672,-0.091,0.000,26.326,-3.913,-18.112,32.194
-4.180,98.5698,-0.230,0.000,26.149,-3.380,-18.364,32.131
-4.160,98.5661,-0.057,0.000,26.149,-3.736,-18.112,32.028
-4.140,98.5609,0.802,0.000,26.149,-3.736,-18.112,32.028
-4.120,98.5677,0.483,0.000,26.149,-3.736,-18.364,32.171
-4.100,98.5640,0.720,0.000,26.504,-3.380,-18.112,32.279
-4.080,98.5651,0.457,0.000,25.971,-3.558,-18.364,32.006
-4.060,98.5687,-0.200,0.000,26.326,-3.558,-18.112,32.153
-4.040,98.5661,-0.492,0.000,26.326,-3.913,-18.112,32.194
-4.020,98.5625,-0.158,0.000,26.149,-3.380,-18.112,31.988
-4.000,98.5599,0.558,0.000,26.149,-3.736,-18.112,32.028
-3.980,98.5620,0.959,0.000,26.149,-3.736,-18.364,32.171
-3.960,98.5635,1.046,0.000,26.149,-3.736,-18.112,32.028
-3.940,98.5656,0.986,0.000,25.971,-3.558,-18.112,31.862
-3.920,98.5656,0.536,0.000,26.326,-3.558,-18.364,32.295
-3.900,98.5620,0.558,0.000,26.326,-3.558,-18.112,32.153
-3.880,98.5646,0.022,0.000,26.326,-3.558,-18.364,32.295
-3.860,98.5656,0.262,0.000,26.149,-3.736,-18.112,32.028
-3.840,98.5677,-0.039,0.000,26.149,-3.380,-18.364,32.131
-3.820,98.5677,-0.434,0.000,26.149,-3.736,-18.112,32.028
-3.800,98.5687,-0.678,0.000,26.149,-3.736,-18.364,32.171
-3.780,98.5677,-0.958,0.000,26.504,-3.736,-18.364,32.460
-3.760,98.5656,-0.822,0.000,26.149,-3.736,-18.112,32.028
-3.740,98.5656,-0.581,0.000,26.149,-3.380,-18.364,32.131
-3.720,98.5687,-0.865,0.000,26.326,-3.913,-18.112,32.194
-3.700,98.5682,-1.072,0.000,26.326,-3.913,-18.112,32.194
-3.680,98.5630,-0.222,0.000,26.149,-3.380,-18.112,31.988
-3.660,98.5651,0.019,0.000,25.971,-3.558,-18.112,31.862
-3.640,98.5672,-0.065,0.000,26.326,-3.558,-18.364,32.295
-3.620,98.5719,-0.360,0.000,26.326,-3.558,-18.616,32.439
-3.600,98.5646,-0.152,0.000,26.326,-3.913,-18.364,32.336
-3.580,98.5630,0.338,0.000,26.326,-3.913,-18.112,32.194
-3.560,98.5651,0.495,0.000,26.149,-3.736,-18.112,32.028
-3.540,98.5661,0.546,0.000,26.149,-3.736,-18.112,32.028
-3.520,98.5672,0.296,0.000,26.149,-3.736,-18.364,32.171
-3.500,98.5630,0.299,0.000,26.149,-3.736,-18.112,32.028
-3.480,98.5630,0.512,0.000,26.326,-3.558,-18.364,32.295
-3.460,98.5667,0.448,0.000,26.326,-3.558,-18.364,32.295
-3.440,98.5708,-0.002,0.000,26.504,-3.380,-18.364,32.421
-3.420,98.5656,0.020,0.000,26.149,-3.736,-18.112,32.028
-3.400,98.5635,0.371,0.000,26.326,-3.558,-18.364,32.295
-3.380,98.5651,0.313,0.000,26.149,-3.736,-18.364,32.171
-3.360,98.5667,0.206,0.000,26.326,-3.913,-18.364,32.336
-3.340,98.5661,-0.156,0.000,26.326,-3.558,-18.364,32.295
-3.320,98.5667,-0.773,0.000,26.326,-3.558,-18.364,32.295
-3.300,98.5667,-0.915,0.000,26.326,-3.558,-18.112,32.153
-3.280,98.5667,-1.006,0.000,26.504,-3.736,-18.364,32.460
-3.260,98.5599,-0.280,0.000,26.149,-3.736,-18.616,32.315
-3.240,98.5651,-0.243,0.000,26.326,-3.558,-18.112,32.153
-3.220,98.5630,-0.044,0.000,26.504,-3.380,-18.112,32.279
-3.200,98.5651,-0.268,0.000,25.971,-3.558,-18.112,31.862
-3.180,98.5640,-0.333,0.000,26.326,-3.558,-18.364,32.295
-3.160,98.5640,-0.379,0.000,26.149,-3.736,-18.364,32.171
-3.140,98.5661,-0.632,0.000,26.149,-3.736,-18.364,32.171
-3.120,98.5640,-0.604,0.000,26.504,-3.380,-18.364,32.421
-3.100,98.5656,-0.741,0.000,26.326,-3.558,-18.112,32.153
-3.080,98.5651,-0.785,0.000,25.971,-3.558,-18.112,31.862
-3.060,98.5667,-0.976,0.000,26.149,-3.736,-18.112,32.028
-3.040,98.5640,-0.837,0.000,25.971,-3.558,-18.112,31.862
-3.020,98.5599,-0.278,0.000,26.326,-3.913,-18.112,32.194
-3.000,98.5677,-0.385,0.000,26.326,-3.913,-18.364,32.336
-2.980,98.5661,-0.254,0.000,26.149,-3.736,-18.364,32.171
-2.960,98.5640,0.286,0.000,26.149,-3.736,-18.364,32.171
-2.940,98.5620,0.975,0.000,26.326,-3.558,-18.364,32.295
-2.920,98.5620,1.271,0.000,26.326,-3.913,-18.112,32.194
-2.900,98.5646,0.974,0.000,26.149,-3.736,-18.112,32.028
-2.880,98.5625,0.762,0.000,26.149,-3.736,-18.364,32.171
-2.860,98.5640,0.736,0.000,26.149,-3.736,-18.364,32.171
-2.840,98.5687,0.250,0.000,26.326,-3.558,-18.112,32.153
-2.820,98.5661,-0.090,0.000,26.504,-3.736,-18.112,32.319
-2.800,98.5646,0.195,0.000,26.149,-3.380,-18.112,31.988
